section,metric,value
config,cases,6
config,include_manual,True
config,include_agent,True
config,use_mock,False
config,baseline_max_repairs,1
config,agent_max_repairs,1
manual_puml,tests,6
manual_puml,baseline_completed,6
manual_puml,edit_applied,6
manual_puml,post_det_valid,6
manual_puml,post_agentic_valid,6
manual_puml,post_overall_valid,6
manual_puml,regenerated_puml,6
manual_puml,edit_preserved,6
manual_puml,protected_behavior_preserved,6
manual_puml,unintended_changes_detected,0
manual_puml,hitl_success,6
manual_puml,hitl_success_rate,1.0
agentic_nl_edit,tests,6
agentic_nl_edit,baseline_completed,6
agentic_nl_edit,edit_applied,6
agentic_nl_edit,post_det_valid,5
agentic_nl_edit,post_agentic_valid,5
agentic_nl_edit,post_overall_valid,5
agentic_nl_edit,regenerated_puml,5
agentic_nl_edit,edit_preserved,5
agentic_nl_edit,protected_behavior_preserved,5
agentic_nl_edit,unintended_changes_detected,0
agentic_nl_edit,hitl_success,5
agentic_nl_edit,hitl_success_rate,0.8333
overall,tests,12
overall,baseline_completed,12
overall,edit_applied,12
overall,post_det_valid,11
overall,post_agentic_valid,11
overall,post_overall_valid,11
overall,regenerated_puml,11
overall,edit_preserved,11
overall,protected_behavior_preserved,11
overall,unintended_changes_detected,0
overall,hitl_success,11
overall,hitl_success_rate,0.9167
