scenario_id,nl_prompt,original_prompt,req_devices,req_triggers,req_actions,req_conditions,m2_completed,m2_ok,m2_error_count,m2_warning_count,m2_schema_error_count,m2_ir_path,m2_puml_path,m2_report_path,m2_exception,devices_required,devices_present,devices_coverage,missing_devices,triggers_required,triggers_present,triggers_coverage,missing_triggers,actions_required,actions_present,actions_coverage,missing_actions,overall_coverage,m1_completed,m1_ok,m1_error_count,m1_ir_path,m1_puml_path,m1_report_path,m1_exception
S01,"If the Front Door Contact Sensor opens, then turn on the Hallway Light.","If the front door opens, then turn on the hallway light.",door_front|light_hall,"becomes(door_front.contact,open)","command(light_hall,on)",,True,True,0,0,0,metrics_out\runs\metric2\S01\final.ir.json,metrics_out\runs\metric2\S01\final.puml,metrics_out\runs\metric2\S01\validation_report.json,,2,2,1.0,,1,1,1.0,,1,1,1.0,,1.0,True,True,0,metrics_out\runs\metric1\S01\final.ir.json,metrics_out\runs\metric1\S01\final.puml,metrics_out\runs\metric1\S01\validation_report.json,
S02,"If the Front Door Contact Sensor opens, then send a notification to the homeowner.","If the front door opens, then send a notification to the homeowner.",door_front,"becomes(door_front.contact,open)",notify(),,True,True,0,0,0,metrics_out\runs\metric2\S02\final.ir.json,metrics_out\runs\metric2\S02\final.puml,metrics_out\runs\metric2\S02\validation_report.json,,1,1,1.0,,1,1,1.0,,1,1,1.0,,1.0,True,True,0,metrics_out\runs\metric1\S02\final.ir.json,metrics_out\runs\metric1\S02\final.puml,metrics_out\runs\metric1\S02\validation_report.json,
S03,"If the Front Door Lock becomes unlocked, then send a notification to my phone.","If the front door is unlocked, then send a notification to the homeowner.",lock_front,"becomes(lock_front.lock,unlocked)",notify(),,True,True,0,0,0,metrics_out\runs\metric2\S03\final.ir.json,metrics_out\runs\metric2\S03\final.puml,metrics_out\runs\metric2\S03\validation_report.json,,1,1,1.0,,1,1,1.0,,1,1,1.0,,1.0,True,True,0,metrics_out\runs\metric1\S03\final.ir.json,metrics_out\runs\metric1\S03\final.puml,metrics_out\runs\metric1\S03\validation_report.json,
S04,"If the Front Door Lock becomes unlocked, then turn on the Hallway Light.","If the front door is unlocked, then turn on the porch light.",lock_front|light_hall,"becomes(lock_front.lock,unlocked)","command(light_hall,on)",,True,True,0,0,0,metrics_out\runs\metric2\S04\final.ir.json,metrics_out\runs\metric2\S04\final.puml,metrics_out\runs\metric2\S04\validation_report.json,,2,2,1.0,,1,1,1.0,,1,1,1.0,,1.0,True,True,0,metrics_out\runs\metric1\S04\final.ir.json,metrics_out\runs\metric1\S04\final.puml,metrics_out\runs\metric1\S04\validation_report.json,
S05,"If the Front Door Contact Sensor closes and the time is after 10:00 PM, then lock the Front Door Lock.","If the front door is closed and it is after 10 pm, then lock the front door.",door_front|lock_front,"becomes(door_front.contact,closed)","command(lock_front,lock)",time_after(22:00),True,True,0,0,0,metrics_out\runs\metric2\S05\final.ir.json,metrics_out\runs\metric2\S05\final.puml,metrics_out\runs\metric2\S05\validation_report.json,,2,2,1.0,,1,1,1.0,,1,1,1.0,,1.0,True,True,0,metrics_out\runs\metric1\S05\final.ir.json,metrics_out\runs\metric1\S05\final.puml,metrics_out\runs\metric1\S05\validation_report.json,
S06,"If the Front Door Contact Sensor closes and the time is between 10:00 PM and 6:00 AM, then lock the Front Door Lock.","If the front door is closed and it is between the hours of 10:00 PM and 6:00 AM, then lock the front door.",door_front|lock_front,"becomes(door_front.contact,closed)","command(lock_front,lock)","time_between(22:00,06:00)",True,True,0,0,0,metrics_out\runs\metric2\S06\final.ir.json,metrics_out\runs\metric2\S06\final.puml,metrics_out\runs\metric2\S06\validation_report.json,,2,2,1.0,,1,1,1.0,,1,1,1.0,,1.0,True,True,0,metrics_out\runs\metric1\S06\final.ir.json,metrics_out\runs\metric1\S06\final.puml,metrics_out\runs\metric1\S06\validation_report.json,
S07,"If the Front Door Lock becomes unlocked and it is after sunset, then turn on the Hallway Light.","If the front door is unlocked after sunset, then turn on the porch lights.",lock_front|light_hall,"becomes(lock_front.lock,unlocked)","command(light_hall,on)",time_after_sunset,True,True,0,0,0,metrics_out\runs\metric2\S07\final.ir.json,metrics_out\runs\metric2\S07\final.puml,metrics_out\runs\metric2\S07\validation_report.json,,2,2,1.0,,1,1,1.0,,1,1,1.0,,1.0,True,True,0,metrics_out\runs\metric1\S07\final.ir.json,metrics_out\runs\metric1\S07\final.puml,metrics_out\runs\metric1\S07\validation_report.json,
S08,"If the sun sets while the Front Door Contact Sensor is closed and the Front Door Lock is locked, then turn on the Hallway Light.","If the front door is closed and locked and the sun sets, then turn on the porch light.",door_front|lock_front|light_hall,schedule(sunset),"command(light_hall,on)","eq(door_front.contact,closed)|eq(lock_front.lock,locked)",True,True,0,0,0,metrics_out\runs\metric2\S08\final.ir.json,metrics_out\runs\metric2\S08\final.puml,metrics_out\runs\metric2\S08\validation_report.json,,3,3,1.0,,1,0,0.0,schedule(sunset),1,1,1.0,,0.8,True,True,0,metrics_out\runs\metric1\S08\final.ir.json,metrics_out\runs\metric1\S08\final.puml,metrics_out\runs\metric1\S08\validation_report.json,
S09,"If the Front Door Lock is unlocked and motion is detected by the Hallway Motion Sensor, then turn on the Hallway Light.","If the front door is unlocked and motion is active on the front porch motion sensor, then turn on the entryway light.",lock_front|motion_hall|light_hall,"becomes(motion_hall.motion,active)","command(light_hall,on)","eq(lock_front.lock,unlocked)",True,True,0,0,0,metrics_out\runs\metric2\S09\final.ir.json,metrics_out\runs\metric2\S09\final.puml,metrics_out\runs\metric2\S09\validation_report.json,,3,3,1.0,,1,1,1.0,,1,1,1.0,,1.0,True,True,0,metrics_out\runs\metric1\S09\final.ir.json,metrics_out\runs\metric1\S09\final.puml,metrics_out\runs\metric1\S09\validation_report.json,
S10,"If motion is detected by the Hallway Motion Sensor and the Front Door Lock is unlocked, then turn on the Hallway Light for 5 minutes.","If motion is detected by the front door motion sensor and the door lock is unlocked, then turn on the porch light for 5 minutes.",motion_hall|lock_front|light_hall,"becomes(motion_hall.motion,active)","command(light_hall,on)|delay(300)|command(light_hall,off)","eq(lock_front.lock,unlocked)|duration(300s)",True,True,0,0,0,metrics_out\runs\metric2\S10\final.ir.json,metrics_out\runs\metric2\S10\final.puml,metrics_out\runs\metric2\S10\validation_report.json,,3,3,1.0,,1,1,1.0,,3,1,0.3333,"command(light_hall,on)|delay(300)",0.7143,True,True,0,metrics_out\runs\metric1\S10\final.ir.json,metrics_out\runs\metric1\S10\final.puml,metrics_out\runs\metric1\S10\validation_report.json,
